CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0184,0.9935361505529634
C0001,C0048,0.9819633019307646
C0001,C0190,0.96452185148707
C0002,C0088,0.9960799027166513
C0002,C0092,0.8988131274932987
C0002,C0077,0.8589900411065106
C0003,C0076,0.9404332587915768
C0003,C0052,0.9074947700471391
C0003,C0031,0.8921085426668601
C0004,C0165,0.9840419868265131
C0004,C0169,0.9809547756739331
C0004,C0087,0.9627199831149212
C0005,C0186,0.9969474860655397
C0005,C0140,0.9912390418101863
C0005,C0146,0.9852350018094592
C0006,C0187,0.9790254134285984
C0006,C0126,0.9784805496644816
C0006,C0011,0.9571496224730571
C0007,C0146,0.9999942326269695
C0007,C0005,0.9847182182201702
C0007,C0115,0.97485721951664
C0008,C0065,0.853470449569741
C0008,C0136,0.847778790010881
C0008,C0059,0.8477476181748637
C0009,C0198,0.9999798466237244
C0009,C0061,0.9674993267776647
C0009,C0062,0.9583454074311181
C0010,C0062,0.939555825706376
C0010,C0111,0.9244011766626445
C0010,C0103,0.8648690544873028
C0011,C0006,0.9571496224730571
C0011,C0137,0.9276368993520191
C0011,C0126,0.9218310837542416
C0012,C0163,0.9926558110685144
C0012,C0104,0.971599685888965
C0012,C0113,0.9713071153466543
C0013,C0099,0.9859918517886906
C0013,C0108,0.961011434215197
C0013,C0155,0.8790908764276617
C0014,C0060,0.9993796306016353
C0014,C0097,0.9353123652948324
C0014,C0128,0.9343984318977816
C0015,C0131,0.9820327557850471
C0015,C0036,0.9697859035777132
C0015,C0094,0.9354901186410373
C0016,C0183,0.9762658054498059
C0016,C0067,0.9006034510639328
C0016,C0098,0.8668350122214663
C0017,C0075,0.9712749859881253
C0017,C0041,0.9656674274956154
C0017,C0057,0.9173863386258186
C0018,C0122,0.9884795107249386
C0018,C0046,0.9791740834299512
C0018,C0156,0.9034110364514967
C0019,C0073,0.9928399905849356
C0019,C0132,0.9511239934366934
C0019,C0167,0.939029270897108
C0020,C0015,0.9185888568660315
C0020,C0140,0.9058322024625602
C0020,C0186,0.8987115177736352
